movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,Combined
long shot,Comedy Romance,Jonathan Levine ,Seth Rogen, Charlize Theron, O'Shea Jackson Jr.,long shotSeth Rogen Charlize Theron O'Shea Jackson Jr.Jonathan Levine Comedy Romance
the intruder,Thriller,Deon Taylor ,Dennis Quaid, Michael Ealy, Meagan Good,the intruderDennis Quaid Michael Ealy Meagan GoodDeon Taylor Thriller
uglydolls,Family Animation Music,Kelly Asbury ,Kelly Clarkson, Pitbull, Nick Jonas,uglydollsKelly Clarkson Pitbull Nick JonasKelly Asbury Family Animation Music
"extremely wicked, shockingly evil and vile",Crime,Joe Berlinger ,Zac Efron, Lily Collins, Kaya Scodelario,"extremely wicked, shockingly evil and vileZac Efron Lily Collins Kaya ScodelarioJoe Berlinger Crime"
the last summer,Romance Comedy,William Bindley ,KJ Apa, Maia Mitchell, Jacob Latimore,the last summerKJ Apa Maia Mitchell Jacob LatimoreWilliam Bindley Romance Comedy
pokémon detective pikachu,Action Adventure Fantasy,Rob Letterman ,Ryan Reynolds, Justice Smith, Kathryn Newton,pokémon detective pikachuRyan Reynolds Justice Smith Kathryn NewtonRob Letterman Action Adventure Fantasy
the hustle,Comedy Crime,Chris Addison ,Anne Hathaway, Rebel Wilson, Alex Sharp,the hustleAnne Hathaway Rebel Wilson Alex SharpChris Addison Comedy Crime
tolkien,War Drama Romance,Dome Karukoski ,Nicholas Hoult, Lily Collins, Colm Meaney,tolkienNicholas Hoult Lily Collins Colm MeaneyDome Karukoski War Drama Romance
poms,Comedy Drama,Zara Hayes ,Diane Keaton, Jacki Weaver, Pam Grier,pomsDiane Keaton Jacki Weaver Pam GrierZara Hayes Comedy Drama
the professor and the madman,History Drama Mystery Thriller,"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan",Mel Gibson, Sean Penn, Natalie Dormer,"the professor and the madmanMel Gibson Sean Penn Natalie DormerP.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve CooganHistory Drama Mystery Thriller"
john wick: chapter 3 – parabellum,Action Thriller Crime,Chad Stahelski ,Keanu Reeves, Halle Berry, Laurence Fishburne,john wick: chapter 3 – parabellumKeanu Reeves Halle Berry Laurence FishburneChad Stahelski Action Thriller Crime
a dog's journey,Family Adventure Drama,Gail Mancuso ,Dennis Quaid, Josh Gad, Marg Helgenberger,a dog's journeyDennis Quaid Josh Gad Marg HelgenbergerGail Mancuso Family Adventure Drama
the sun is also a star,Romance Drama,Ry Russo-Young ,Yara Shahidi, Charles Melton, John Leguizamo,the sun is also a starYara Shahidi Charles Melton John LeguizamoRy Russo-Young Romance Drama
the professor,Comedy Drama,Wayne Roberts ,Johnny Depp, Rosemarie DeWitt, Danny Huston,the professorJohnny Depp Rosemarie DeWitt Danny HustonWayne Roberts Comedy Drama
the souvenir,Romance Drama,Joanna Hogg ,Honor Swinton Byrne, Tom Burke, Tilda Swinton,the souvenirHonor Swinton Byrne Tom Burke Tilda SwintonJoanna Hogg Romance Drama
the tomorrow man,Drama Romance,"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow",John Lithgow, Blythe Danner, Derek Cecil,"the tomorrow manJohn Lithgow Blythe Danner Derek CecilNoble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve HarlowDrama Romance"
aladdin,Animation Family Adventure Fantasy Romance,Guy Ritchie ,Mena Massoud, Will Smith, Naomi Scott,aladdinMena Massoud Will Smith Naomi ScottGuy Ritchie Animation Family Adventure Fantasy Romance
brightburn,Horror Thriller Science Fiction,David Yarovesky ,Elizabeth Banks, David Denman, Jackson A. Dunn,brightburnElizabeth Banks David Denman Jackson A. DunnDavid Yarovesky Horror Thriller Science Fiction
booksmart,Comedy,Olivia Wilde ,Kaitlyn Dever, Beanie Feldstein, Jessica Williams,booksmartKaitlyn Dever Beanie Feldstein Jessica WilliamsOlivia Wilde Comedy
the perfection,Horror Thriller Drama,Richard Shepard ,Allison Williams, Logan Browning, Steven Weber,the perfectionAllison Williams Logan Browning Steven WeberRichard Shepard Horror Thriller Drama
always be my maybe,Romance Comedy,Nahnatchka Khan ,Ali Wong, Randall Park, Daniel Dae Kim,always be my maybeAli Wong Randall Park Daniel Dae KimNahnatchka Khan Romance Comedy
godzilla: king of the monsters,Science Fiction Action,Michael Dougherty ,Kyle Chandler, Vera Farmiga, Millie Bobby Brown,godzilla: king of the monstersKyle Chandler Vera Farmiga Millie Bobby BrownMichael Dougherty Science Fiction Action
rocketman,Music Drama History,Dexter Fletcher ,Taron Egerton, Jamie Bell, Richard Madden,rocketmanTaron Egerton Jamie Bell Richard MaddenDexter Fletcher Music Drama History
ma,Horror Thriller,Tate Taylor ,Octavia Spencer, Juliette Lewis, Diana Silvers,maOctavia Spencer Juliette Lewis Diana SilversTate Taylor Horror Thriller
dark phoenix,Science Fiction Action Adventure,Simon Kinberg ,James McAvoy, Michael Fassbender, Jennifer Lawrence,dark phoenixJames McAvoy Michael Fassbender Jennifer LawrenceSimon Kinberg Science Fiction Action Adventure
the secret life of pets 2,Adventure Animation Comedy Family,Chris Renaud ,Patton Oswalt, Eric Stonestreet, Kevin Hart,the secret life of pets 2Patton Oswalt Eric Stonestreet Kevin HartChris Renaud Adventure Animation Comedy Family
late night,Comedy Drama,Nisha Ganatra ,Emma Thompson, Mindy Kaling, Max Casella,late nightEmma Thompson Mindy Kaling Max CasellaNisha Ganatra Comedy Drama
the last black man in san francisco,Drama,Joe Talbot ,Jimmie Fails, Jonathan Majors, Danny Glover,the last black man in san franciscoJimmie Fails Jonathan Majors Danny GloverJoe Talbot Drama
changeland,Comedy Drama,Seth Green ,Breckin Meyer, Macaulay Culkin, Brenda Song,changelandBreckin Meyer Macaulay Culkin Brenda SongSeth Green Comedy Drama
men in black: international,Comedy Science Fiction Action,F. Gary Gray ,Chris Hemsworth, Tessa Thompson, Kumail Nanjiani,men in black: internationalChris Hemsworth Tessa Thompson Kumail NanjianiF. Gary Gray Comedy Science Fiction Action
shaft,Action Crime,Tim Story ,Samuel L. Jackson, Jessie Usher, Richard Roundtree,shaftSamuel L. Jackson Jessie Usher Richard RoundtreeTim Story Action Crime
the dead don't die,Comedy Horror Fantasy,Jim Jarmusch ,Bill Murray, Adam Driver, Tilda Swinton,the dead don't dieBill Murray Adam Driver Tilda SwintonJim Jarmusch Comedy Horror Fantasy
murder mystery,Comedy,Kyle Newacheck ,Adam Sandler, Jennifer Aniston, Luke Evans,murder mysteryAdam Sandler Jennifer Aniston Luke EvansKyle Newacheck Comedy
plus one,Romance Comedy Drama,"Jeff Chan, Andrew Rhymer ",Maya Erskine, Jack Quaid, Beck Bennett,"plus oneMaya Erskine Jack Quaid Beck BennettJeff Chan, Andrew Rhymer Romance Comedy Drama"
being frank,Comedy,Miranda Bailey ,Jim Gaffigan, Logan Miller, Samantha Mathis,being frankJim Gaffigan Logan Miller Samantha MathisMiranda Bailey Comedy
toy story 4,Family Adventure Animation Comedy Fantasy,Josh Cooley ,Tom Hanks, Tim Allen, Annie Potts,toy story 4Tom Hanks Tim Allen Annie PottsJosh Cooley Family Adventure Animation Comedy Fantasy
anna,Thriller Action,Luc Besson ,Sasha Luss, Helen Mirren, Luke Evans,annaSasha Luss Helen Mirren Luke EvansLuc Besson Thriller Action
child's play,Horror,Lars Klevberg ,Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry,child's playAubrey Plaza Gabriel Bateman Brian Tyree HenryLars Klevberg Horror
annabelle comes home,Horror Mystery Thriller,Gary Dauberman ,Mckenna Grace, Madison Iseman, Katie Sarife,annabelle comes homeMckenna Grace Madison Iseman Katie SarifeGary Dauberman Horror Mystery Thriller
yesterday,Comedy Fantasy Music Romance,Danny Boyle ,Himesh Patel, Lily James, Ed Sheeran,yesterdayHimesh Patel Lily James Ed SheeranDanny Boyle Comedy Fantasy Music Romance
ophelia,Drama Romance History,Claire McCarthy ,Daisy Ridley, Naomi Watts, Clive Owen,opheliaDaisy Ridley Naomi Watts Clive OwenClaire McCarthy Drama Romance History
killers anonymous,Action Thriller Crime Mystery,Martin Owen ,Tommy Flanagan, Rhyon Nicole Brown, Jessica Alba,killers anonymousTommy Flanagan Rhyon Nicole Brown Jessica AlbaMartin Owen Action Thriller Crime Mystery
spider-man: far from home,Action Adventure Science Fiction,Jon Watts ,Tom Holland, Samuel L. Jackson, Zendaya,spider-man: far from homeTom Holland Samuel L. Jackson ZendayaJon Watts Action Adventure Science Fiction
escape plan: the extractors,Action Thriller Crime,John Herzfeld ,Sylvester Stallone, Curtis Jackson, Dave Bautista,escape plan: the extractorsSylvester Stallone Curtis Jackson Dave BautistaJohn Herzfeld Action Thriller Crime
midsommar,Horror Drama Mystery,Ari Aster ,Florence Pugh, Jack Reynor, William Jackson Harper,midsommarFlorence Pugh Jack Reynor William Jackson HarperAri Aster Horror Drama Mystery
stuber,Action Comedy,Michael Dowse ,Kumail Nanjiani, Dave Bautista, Iko Uwais,stuberKumail Nanjiani Dave Bautista Iko UwaisMichael Dowse Action Comedy
crawl,Thriller Horror Action,Alexandre Aja ,Kaya Scodelario, Barry Pepper,unknown,crawlKaya Scodelario Barry PepperunknownAlexandre Aja Thriller Horror Action
point blank,Action Thriller,Joe Lynch ,Frank Grillo, Anthony Mackie, Marcia Gay Harden,point blankFrank Grillo Anthony Mackie Marcia Gay HardenJoe Lynch Action Thriller
the farewell,Comedy Drama,Lulu Wang ,Awkwafina, Tzi Ma, Diana Lin,the farewellAwkwafina Tzi Ma Diana LinLulu Wang Comedy Drama
darlin',Horror Thriller Mystery,Pollyanna Mcintosh ,Pollyanna McIntosh, Cooper Andrews, Nora-Jane Noone,darlin'Pollyanna McIntosh Cooper Andrews Nora-Jane NoonePollyanna Mcintosh Horror Thriller Mystery
the lion king,Family Animation Drama,Jon Favreau ,Donald Glover, Seth Rogen, Chiwetel Ejiofor,the lion kingDonald Glover Seth Rogen Chiwetel EjioforJon Favreau Family Animation Drama
once upon a time in hollywood,Comedy Drama Thriller,Quentin Tarantino ,Leonardo DiCaprio, Brad Pitt, Margot Robbie,once upon a time in hollywoodLeonardo DiCaprio Brad Pitt Margot RobbieQuentin Tarantino Comedy Drama Thriller
skin,Thriller Action Drama,Guy Nattiv ,Jamie Bell, Danielle Macdonald, Daniel Henshall,skinJamie Bell Danielle Macdonald Daniel HenshallGuy Nattiv Thriller Action Drama
the red sea diving resort,Drama Thriller History,Gideon Raff ,Chris Evans, Haley Bennett, Michael K. Williams,the red sea diving resortChris Evans Haley Bennett Michael K. WilliamsGideon Raff Drama Thriller History
fast & furious presents: hobbs & shaw,Action Adventure Comedy,David Leitch ,Dwayne Johnson, Jason Statham, Idris Elba,fast & furious presents: hobbs & shawDwayne Johnson Jason Statham Idris ElbaDavid Leitch Action Adventure Comedy
a score to settle,Action Thriller Drama,Shawn Ku ,Nicolas Cage, Benjamin Bratt,unknown,a score to settleNicolas Cage Benjamin BrattunknownShawn Ku Action Thriller Drama
the operative,Drama Thriller,Yuval Adler ,Diane Kruger, Martin Freeman, Cas Anvar,the operativeDiane Kruger Martin Freeman Cas AnvarYuval Adler Drama Thriller
dora and the lost city of gold,Adventure Comedy Family Fantasy,James Bobin ,Isabela Moner, Eugenio Derbez, Michael Peña,dora and the lost city of goldIsabela Moner Eugenio Derbez Michael PeñaJames Bobin Adventure Comedy Family Fantasy
the kitchen,Action Crime Drama,Andrea Berloff ,Melissa McCarthy, Tiffany Haddish, Elisabeth Moss,the kitchenMelissa McCarthy Tiffany Haddish Elisabeth MossAndrea Berloff Action Crime Drama
the art of racing in the rain,Drama Romance Comedy,Simon Curtis ,Milo Ventimiglia, Amanda Seyfried, Kathy Baker,the art of racing in the rainMilo Ventimiglia Amanda Seyfried Kathy BakerSimon Curtis Drama Romance Comedy
scary stories to tell in the dark,Horror Thriller,André Øvredal ,Zoe Colletti, Michael Garza, Gabriel Rush,scary stories to tell in the darkZoe Colletti Michael Garza Gabriel RushAndré Øvredal Horror Thriller
the peanut butter falcon,Adventure Drama Comedy,"Tyler Nilson, Michael Schwartz ",Shia LaBeouf, Dakota Johnson, John Hawkes,"the peanut butter falconShia LaBeouf Dakota Johnson John HawkesTyler Nilson, Michael Schwartz Adventure Drama Comedy"
after the wedding,Drama,Bart Freundlich ,Michelle Williams, Julianne Moore, Billy Crudup,after the weddingMichelle Williams Julianne Moore Billy CrudupBart Freundlich Drama
light of my life,Science Fiction Drama,Casey Affleck ,Casey Affleck, Anna Pniowsky, Tom Bower,light of my lifeCasey Affleck Anna Pniowsky Tom BowerCasey Affleck Science Fiction Drama
the angry birds movie 2,Animation Comedy Adventure Family,"Thurop Van Orman (director), John Rice (co-director); Peter Ackerman, Eyal Podell, Jonathon E. Stewart (screenplay); Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader, Rachel Bloom, Awkwafina, Sterling K. Brown, Eugenio Derbez, Danny McBride, Peter Dinklage",Jason Sudeikis, Josh Gad, Leslie Jones,"the angry birds movie 2Jason Sudeikis Josh Gad Leslie JonesThurop Van Orman (director), John Rice (co-director); Peter Ackerman, Eyal Podell, Jonathon E. Stewart (screenplay); Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader, Rachel Bloom, Awkwafina, Sterling K. Brown, Eugenio Derbez, Danny McBride, Peter DinklageAnimation Comedy Adventure Family"
good boys,Comedy,Gene Stupnitsky ,Jacob Tremblay, Brady Noon, Keith L. Williams,good boysJacob Tremblay Brady Noon Keith L. WilliamsGene Stupnitsky Comedy
blinded by the light,Drama Comedy,Gurinder Chadha ,Viveik Kalra, Kulvinder Ghir, Meera Ganatra,blinded by the lightViveik Kalra Kulvinder Ghir Meera GanatraGurinder Chadha Drama Comedy
"where'd you go, bernadette",Comedy Drama,Richard Linklater ,Cate Blanchett, Billy Crudup, Emma Nelson,"where'd you go, bernadetteCate Blanchett Billy Crudup Emma NelsonRichard Linklater Comedy Drama"
47 meters down: uncaged,Horror Drama Adventure,Johannes Roberts ,John Corbett, Nia Long, Sophie Nelisse,47 meters down: uncagedJohn Corbett Nia Long Sophie NelisseJohannes Roberts Horror Drama Adventure
gwen,Drama Mystery Horror History,William McGregor ,Maxine Peake, Eleanor Worthington Cox, Richard Harrington,gwenMaxine Peake Eleanor Worthington Cox Richard HarringtonWilliam McGregor Drama Mystery Horror History
ready or not,Comedy Horror Thriller,"Matt Bettinelli-Olpin, Tyler Gillett ",Samara Weaving, Adam Brody, Mark O'Brien,"ready or notSamara Weaving Adam Brody Mark O'BrienMatt Bettinelli-Olpin, Tyler Gillett Comedy Horror Thriller"
angel has fallen,Action Thriller,Ric Roman Waugh ,Gerard Butler, Morgan Freeman, Jada Pinkett Smith,angel has fallenGerard Butler Morgan Freeman Jada Pinkett SmithRic Roman Waugh Action Thriller
brittany runs a marathon,Comedy Drama,Paul Downs Colaizzo ,Jillian Bell, Michaela Watkins, Utkarsh Ambudkar,brittany runs a marathonJillian Bell Michaela Watkins Utkarsh AmbudkarPaul Downs Colaizzo Comedy Drama
overcomer,Drama,Alex Kendrick ,Alex Kendrick, Priscilla Shirer, Ben Davies,overcomerAlex Kendrick Priscilla Shirer Ben DaviesAlex Kendrick Drama
jacob's ladder,Drama Mystery Horror,David M. Rosenthal ,Michael Ealy, Jesse Williams, Nicole Beharie,jacob's ladderMichael Ealy Jesse Williams Nicole BeharieDavid M. Rosenthal Drama Mystery Horror
burn,Thriller Crime Action,Mike Gan ,Tilda Cobham-Hervey, Suki Waterhouse, Harry Shum Jr.,burnTilda Cobham-Hervey Suki Waterhouse Harry Shum Jr.Mike Gan Thriller Crime Action
official secrets,Thriller History Drama,Gavin Hood ,Keira Knightley, Matt Smith, Matthew Goode,official secretsKeira Knightley Matt Smith Matthew GoodeGavin Hood Thriller History Drama
don't let go,Science Fiction Thriller Mystery Crime,Jacob Aaron Estes ,Jacob Aaron Estes, Drew Daywalt (story); David Oyelowo, Storm Reid,don't let goJacob Aaron Estes Drew Daywalt (story); David Oyelowo Storm ReidJacob Aaron Estes Science Fiction Thriller Mystery Crime
itsy bitsy,Horror Thriller,Micah Gallo ,Bruce Davison, Denise Crosby, Elizabeth Roberts,itsy bitsyBruce Davison Denise Crosby Elizabeth RobertsMicah Gallo Horror Thriller
